business_name,technical_name,rule_name,object_name,start_line,start_column,end_line,end_column
Efficiency,Efficiency - SQL and Data Handling Performance,Always cache the returned objects in variables to be reused,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\js\Ajaxrequest.js,1,1,495,2
Efficiency,Efficiency - SQL and Data Handling Performance,Always cache the returned objects in variables to be reused,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\js\alertbox.js,2,1,374,12
Efficiency,Efficiency - SQL and Data Handling Performance,Always cache the returned objects in variables to be reused,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\js\validator.js,1,1,291,2
Efficiency,Efficiency - SQL and Data Handling Performance,Always cache the returned objects in variables to be reused,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\pmsend.aspx,14,2,47,5
Efficiency,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.AdminManagerGetRecipe,1,1,227,1
Efficiency,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.GetArticleCategoryList,1,1,27,1
Efficiency,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.GetArticleCategoryListing,1,1,28,1
Efficiency,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.GetArticleSearchResult,1,1,84,1
Efficiency,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.GetCategoryArticle,1,1,77,1
Efficiency,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.GetHomePageCategoryMainCourseRecipe,1,1,30,1
Efficiency,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.GetHomepageEthnicRegionalCategory,1,1,30,1
Efficiency,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.GetRecipeCategory,1,1,74,1
Efficiency,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.GetRecipeCategoryListSideMenu,1,1,28,1
