business_name,technical_name,rule_name,object_name,start_line,start_column,end_line,end_column
Total Quality Index,Efficiency - SQL and Data Handling Performance,Always cache the returned objects in variables to be reused,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\js\Ajaxrequest.js,1,1,495,2
Total Quality Index,Efficiency - SQL and Data Handling Performance,Always cache the returned objects in variables to be reused,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\js\alertbox.js,2,1,374,12
Total Quality Index,Efficiency - SQL and Data Handling Performance,Always cache the returned objects in variables to be reused,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\js\validator.js,1,1,291,2
Total Quality Index,Efficiency - SQL and Data Handling Performance,Always cache the returned objects in variables to be reused,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\pmsend.aspx,14,2,47,5
Total Quality Index,Programming Practices - Unexpected Behavior,Always define column names when inserting values,XDPortal.dbo.fnConvertCSVToINT,1,1,47,1
Total Quality Index,Programming Practices - Error and Exception Handling,Always implement the success/error/complete or done/fail/always callbacks when using jQuery ajax call,C:\cast-AIPdata\deploy\RecipePortal\main_sources\DOTNET\js\Ajaxrequest.js,1,1,495,2
Total Quality Index,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.AdminManagerGetRecipe,1,1,227,1
Total Quality Index,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.GetArticleCategoryList,1,1,27,1
Total Quality Index,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.GetArticleCategoryListing,1,1,28,1
Total Quality Index,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.GetArticleSearchResult,1,1,84,1
Total Quality Index,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.GetCategoryArticle,1,1,77,1
Total Quality Index,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.GetHomePageCategoryMainCourseRecipe,1,1,30,1
Total Quality Index,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.GetHomepageEthnicRegionalCategory,1,1,30,1
Total Quality Index,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.GetRecipeCategory,1,1,74,1
Total Quality Index,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.GetRecipeCategoryListSideMenu,1,1,28,1
Total Quality Index,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.GetRecipeFirstAlphaLetterName,1,1,75,1
Total Quality Index,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.GetSearchResult,1,1,71,1
Total Quality Index,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.GetSortingRecipe,1,1,73,1
Total Quality Index,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.spDeleteExceptionLog,2,1,15,1
Total Quality Index,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.spDeleteMultipleRecipeComment,2,1,19,1
Total Quality Index,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.spDeleteUserRecipeInCookBook,2,1,17,1
Total Quality Index,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.spInsertAFriendToFriendsList,2,1,34,1
Total Quality Index,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.spInsertPMBlockedUser,2,1,25,1
Total Quality Index,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.spSelectAllArticleByUser,2,1,83,1
Total Quality Index,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.spSelectDisplayAllMembers,2,1,71,1
Total Quality Index,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.spSelectDisplayAllMembersAdmin,2,1,145,1
Total Quality Index,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.spSelectGetAllRecipeByUser,2,1,67,1
Total Quality Index,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.spSelectGetAllRecipeCommentByUser,2,1,85,1
Total Quality Index,Efficiency - SQL and Data Handling Performance,"Avoid ""SELECT *"" queries",XDPortal.dbo.spSelectGetUserArticleCommentByUser,2,1,102,1
